codigo_uf,uf,ano,cobertura,vacina
50,Mato Grosso do Sul,2017,91.49,Poliomielite
51,Mato Grosso,2017,84.07,Poliomielite
52,Goiás,2017,81.56,Poliomielite
53,Distrito Federal,2017,84.41,Poliomielite
11,Rondônia,2018,101.89,Poliomielite
12,Acre,2018,78.34,Poliomielite
13,Amazonas,2018,79.25,Poliomielite
14,Roraima,2018,79.79,Poliomielite
15,Pará,2018,69.09,Poliomielite
16,Amapá,2018,68.74,Poliomielite
17,Tocantins,2018,91.68,Poliomielite
21,Maranhão,2018,80.61,Poliomielite
22,Piauí,2018,83.71,Poliomielite
23,Ceará,2018,111.08,Poliomielite
24,Rio Grande do Norte,2018,90.32,Poliomielite
25,Paraíba,2018,92.26,Poliomielite
26,Pernambuco,2018,94.72,Poliomielite
27,Alagoas,2018,96.13,Poliomielite
28,Sergipe,2018,89.74,Poliomielite
29,Bahia,2018,78.25,Poliomielite
31,Minas Gerais,2018,97.75,Poliomielite
32,Espírito Santo,2018,90.95,Poliomielite
33,Rio de Janeiro,2018,87.48,Poliomielite
35,São Paulo,2018,92.55,Poliomielite
41,Paraná,2018,90.88,Poliomielite
42,Santa Catarina,2018,94.59,Poliomielite
43,Rio Grande do Sul,2018,85.7,Poliomielite
50,Mato Grosso do Sul,2018,95.95,Poliomielite
51,Mato Grosso,2018,90.27,Poliomielite
52,Goiás,2018,85.54,Poliomielite
53,Distrito Federal,2018,86.03,Poliomielite
11,Rondônia,2019,98.26,Poliomielite
12,Acre,2019,81.73,Poliomielite
13,Amazonas,2019,83.29,Poliomielite
14,Roraima,2019,79.76,Poliomielite
15,Pará,2019,72.72,Poliomielite
16,Amapá,2019,73.01,Poliomielite
17,Tocantins,2019,88.17,Poliomielite
21,Maranhão,2019,75.73,Poliomielite
22,Piauí,2019,81.85,Poliomielite
23,Ceará,2019,93.54,Poliomielite
24,Rio Grande do Norte,2019,80.74,Poliomielite
25,Paraíba,2019,92.6,Poliomielite
26,Pernambuco,2019,85.64,Poliomielite
27,Alagoas,2019,87.89,Poliomielite
28,Sergipe,2019,80.86,Poliomielite
29,Bahia,2019,74.83,Poliomielite
31,Minas Gerais,2019,88.52,Poliomielite
32,Espírito Santo,2019,86.68,Poliomielite
33,Rio de Janeiro,2019,73.62,Poliomielite
35,São Paulo,2019,86.62,Poliomielite
41,Paraná,2019,89.69,Poliomielite
42,Santa Catarina,2019,93.68,Poliomielite
43,Rio Grande do Sul,2019,85.09,Poliomielite
50,Mato Grosso do Sul,2019,94.41,Poliomielite
51,Mato Grosso,2019,85.81,Poliomielite
52,Goiás,2019,81.52,Poliomielite
53,Distrito Federal,2019,84.32,Poliomielite
11,Rondônia,2020,82.51,Poliomielite
12,Acre,2020,63.08,Poliomielite
13,Amazonas,2020,68.17,Poliomielite
